部件工作时长,累积量参数1,累积量参数2,转速信号1,转速信号2,压力信号1,压力信号2,温度信号,流量信号,电流信号,开关1信号,开关2信号,告警信号1,设备类型
0.0,0.0,0.0,12372.76,28191.64,78.61,373.86,33.1,134.48,2015.2,0.0,0.0,0.0,S26a
0.0,0.0,0.0,12389.48,28217.32,76.05,373.66,33.1,133.22,2015.15,0.0,0.0,0.0,S26a
0.0,0.0,0.0,12385.31,28216.64,76.66,373.97,33.1,138.19,2015.03,0.0,0.0,0.0,S26a
0.0,0.0,0.0,12388.03,28217.39,78.67,373.33,33.1,137.82,2015.05,0.0,0.0,0.0,S26a
0.0,0.0,0.0,12337.95,28068.09,105.61,384.44,33.1,133.59,2015.2,0.0,0.0,0.0,S26a
0.0,16.5,19.5,12299.02,28082.32,106.45,360.53,40.1,133.53,2015.15,0.0,0.0,0.0,S26a
0.0,16.5,19.5,5211.53,11858.11,74.97,374.37,40.1,136.05,2015.03,0.0,0.0,0.0,S26a
0.0,16.5,19.5,6857.75,14498.76,76.28,374.82,40.1,136.96,2015.3,0.0,0.0,0.0,S26a
0.0,16.5,19.5,5195.38,11837.02,76.49,373.82,40.1,133.66,2015.03,0.0,0.0,0.0,S26a
0.0,22.0,26.0,5213.81,11835.0,76.25,374.43,43.3,131.52,2015.11,0.0,0.0,0.0,S26a
0.0,22.0,26.0,5203.7,11848.23,73.59,373.06,43.3,134.75,2015.16,0.0,0.0,0.0,S26a
0.0,22.0,26.0,5206.12,11846.29,76.69,374.11,43.3,137.98,2015.21,0.0,0.0,0.0,S26a
0.0,22.0,26.0,5203.94,11849.36,76.65,374.18,43.3,135.5,2015.04,0.0,0.0,0.0,S26a
0.0,22.0,26.0,5203.66,11848.98,75.22,374.0,43.3,136.47,2015.23,0.0,0.0,0.0,S26a
0.0,22.0,26.0,5203.58,11847.14,76.12,374.82,43.3,136.96,2015.26,0.0,0.0,0.0,S26a
0.0,22.0,26.0,5203.4,11846.96,74.08,374.62,43.3,137.59,2015.04,0.0,0.0,0.0,S26a
0.0,22.0,26.0,5198.19,11836.3,76.51,374.42,43.3,133.82,2015.26,0.0,0.0,0.0,S26a
0.0,22.0,26.0,5202.95,11849.39,76.81,374.26,45.3,133.65,2015.07,0.0,0.0,0.0,S26a
0.0,22.0,26.0,5200.22,11848.05,76.78,374.83,45.3,134.73,2015.06,0.0,0.0,0.0,S26a
0.0,22.0,26.0,5200.29,11849.74,76.35,372.82,45.3,135.74,2015.29,0.0,0.0,0.0,S26a
0.0,22.0,26.0,9650.28,21988.06,76.22,372.92,45.3,138.3,2015.19,0.0,0.0,0.0,S26a
0.0,220.0,71.5,9692.86,22081.33,73.88,374.81,50.3,131.3,2015.12,0.0,0.0,0.0,S26a
0.0,220.0,71.5,9286.26,21110.72,73.01,373.49,50.3,132.02,2015.13,0.0,0.0,0.0,S26a
0.0,220.0,71.5,9251.45,21063.51,73.64,371.48,50.3,136.8,2015.11,0.0,0.0,0.0,S26a
